JT_KFFD_630_01_0100001_1DCSOPC_AI02154,JT_KFFD_630_01_0601212_1DCSOPC_AI01064,JT_KFFD_630_01_0603201_1DCSOPC_AI01116,JT_KFFD_630_01_0603202_1DCSOPC_AI01143,JT_KFFD_630_01_0603203_1DCSOPC_AI01144,JT_KFFD_630_01_0603205_1DCSOPC_AI01131,JT_KFFD_630_01_0603207_1DCSOPC_AI01141,JT_KFFD_630_01_0603209_1DCSOPC_AI01126,JT_KFFD_630_01_0603235_1DCSOPC_AI01129
317.3956,20.74124,336.0041,1.264381,1.399689,57.78267,52.31271,55.46692,60.54535
316.1455,20.61673,336.4029,1.224308,1.389694,57.78574,52.33081,55.47589,60.43854
316.1455,20.22552,334.5958,1.239338,1.424751,57.76428,52.32104,55.47165,60.30557
315.724,20.10001,337.0252,1.239338,1.384659,57.79056,52.31888,55.47052,60.75265
316.6761,20.05099,335.8459,1.249371,1.399689,57.78479,52.32449,55.47815,60.48737
316.903,20.04379,336.3419,1.244354,1.405373,57.78399,52.32513,55.47646,60.4429
315.7749,20.11716,335.5942,1.229324,1.384659,57.776,52.30975,55.46356,60.30535
315.0045,20.45308,335.5844,1.229324,1.405373,57.7977,52.33878,55.47925,60.37685
315.1862,20.63205,334.8389,1.234951,1.390305,57.78433,52.33487,55.47641,60.06165
316.1455,20.71988,332.7751,1.244984,1.370277,57.78516,52.33282,55.45435,59.78546
315.0045,20.84869,334.9915,1.244984,1.375275,57.78711,52.33374,55.47913,60.22295
315.1862,20.62122,331.8736,1.209888,1.394691,57.77591,52.34039,55.47568,59.66034
314.1033,20.36478,333.0841,1.254349,1.389694,57.78192,52.32465,55.47424,59.78546
315.2444,20.48984,331.9484,1.214275,1.389694,57.78464,52.32211,55.47106,59.55396
315.724,20.98532,331.707,1.254349,1.369629,57.7858,52.32947,55.46583,59.61723
314.7647,21.50314,330.8334,1.214275,1.359596,57.77719,52.32932,55.46689,59.48486
313.5728,21.87735,331.768,1.209278,1.364632,57.77167,52.33917,55.48014,59.08508
313.5728,21.99884,329.7217,1.219292,1.369629,57.77802,52.34454,55.48517,58.88367
311.8918,21.74605,329.4384,1.229324,1.349602,57.77893,52.34701,55.48611,58.65784
311.9012,21.33054,329.4384,1.219292,1.339569,57.76953,52.35223,55.48239,58.60901
312.3227,21.03222,328.8629,1.194229,1.345215,57.77679,52.33978,55.4717,58.58307
311.6032,20.57394,329.8645,1.219292,1.340179,57.78305,52.34991,55.47159,58.53271
311.6613,20.31915,322.0269,1.190654,1.320964,57.77051,52.35471,55.47403,57.51255
311.6613,20.57352,322.5625,1.219521,1.342541,57.79245,52.34418,55.48391,57.25555
310.6548,21.18585,323.0667,1.219292,1.371762,57.77651,52.34265,55.50201,57.69141
310.702,22.21092,323.5321,1.209278,1.345989,57.78073,52.33865,55.48838,58.03484
310.891,23.05481,325.5692,1.199245,1.375275,57.78934,52.33911,55.48514,58.55865
311.9012,23.17487,323.5626,1.194229,1.335182,57.7861,52.34259,55.47561,57.78046
310.4695,23.14273,325.2258,1.194229,1.349602,57.7959,52.34678,55.47351,57.90994
310.702,22.76538,325.1266,1.194229,1.369629,57.7905,52.35129,55.48468,58.10699
310.7602,22.39536,325.6771,1.194229,1.339569,57.7991,52.36627,55.50515,58.07081
310.1715,21.82406,325.2751,1.189232,1.339569,57.78671,52.37079,55.49496,57.9095
310.1715,21.12973,324.7871,1.214275,1.354599,57.79688,52.36246,55.50394,58.14056
311.1308,21.00946,323.8278,1.209278,1.344566,57.79794,52.37312,55.50919,58.16956
310.9419,21.38312,325.894,1.204891,1.349602,57.79904,52.38358,55.51114,58.29184
310.891,21.36442,324.2536,1.199245,1.349602,57.81015,52.37946,55.52494,58.04988
311.3634,20.75946,324.5697,1.209888,1.354599,57.8176,52.38925,55.50391,58.67462
312.3736,20.51294,325.4253,1.224308,1.359596,57.81937,52.38989,55.50811,58.57958
311.1329,20.41381,326.0182,1.204262,1.354599,57.82327,52.38876,55.51255,58.92356
312.3155,20.63571,326.5686,1.244354,1.369629,57.81482,52.38586,55.51053,58.39996
315.9057,20.77646,327.8275,1.254349,1.365242,57.82214,52.38263,55.5289,59.12628
313.5728,20.69089,327.2411,1.214275,1.38031,57.82925,52.37718,55.51596,58.82983
313.5728,20.81238,328.2032,1.244354,1.349602,57.82056,52.36929,55.50812,59.63593
315.9057,20.89233,330.6906,1.234951,1.38031,57.82547,52.36813,55.51313,59.71418
316.9159,20.63385,331.9844,1.244984,1.370277,57.81439,52.36175,55.50272,59.84519
314.5207,20.56076,334.1064,1.23361,1.384659,57.80832,52.35963,55.49813,60.33194
313.7545,20.57101,336.4677,1.259384,1.389694,57.80908,52.35025,55.48868,60.73799
